code;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;attribute_as_label;attributes;requirements-ecommerce;requirements-print;requirements-mobile;requirements-pos
fam_40;"Maiores voluptas et.";"Quod dolores consequuntur.";"Est consequatur.";"Quam quia.";name;sku,name,attr_8,attr_164,attr_129,attr_148,attr_188,attr_236,attr_111,attr_81,attr_210,attr_56,attr_119,attr_92,attr_27,attr_182,attr_64,attr_89,attr_151,attr_71,attr_103,attr_238,attr_50,attr_58,attr_133,attr_212,attr_16,attr_159,attr_105,attr_128,attr_169,attr_193,attr_207,attr_142,attr_97,attr_154,attr_125,attr_88,attr_209,attr_11,attr_5;sku,attr_105,attr_129,attr_103,attr_128;sku,attr_89,attr_103,attr_58,name;sku,attr_64,attr_103,attr_50,attr_97;sku,attr_236,attr_64,sku,attr_92
fam_41;"Omnis tempora ducimus.";"Beatae aut.";"Ipsum fugiat libero.";"Impedit et.";name;sku,name,attr_43,attr_68,attr_179,attr_247,attr_31,attr_237,attr_52,attr_5,attr_94,attr_208,attr_161,attr_16,attr_157,attr_216,attr_178,attr_183,attr_9,attr_226,attr_189,attr_32,attr_59,attr_134,attr_173,attr_62,attr_213,attr_117,attr_238,attr_91,attr_37,attr_107,attr_148,attr_203,attr_162,attr_114,attr_234,attr_40,attr_53,attr_177,attr_160;sku,attr_237,attr_178,attr_177,attr_157;sku,attr_107,attr_157,attr_5,attr_213;sku,attr_161,attr_107,attr_32,attr_237;sku,attr_94,attr_177,attr_213,attr_117
fam_42;"Id doloribus.";"Velit incidunt.";"Praesentium provident.";"Sed velit aut.";name;sku,name,attr_211,attr_241,attr_60,attr_30,attr_48,attr_38,attr_183,attr_226,attr_188,attr_198,attr_245,attr_123,attr_191,attr_139,attr_34,attr_101,attr_144,attr_72,attr_40,attr_124,attr_225,attr_116,attr_95,attr_99,attr_150,attr_165,attr_114,attr_205,attr_36,attr_129,attr_35,attr_233,attr_59,attr_157,attr_105,attr_125,attr_41,attr_55,attr_87;sku,attr_198,attr_30,attr_124,attr_226;sku,attr_245,attr_241,attr_211,attr_87;sku,attr_105,attr_59,attr_30,attr_150;sku,attr_183,attr_144,attr_114,attr_123
fam_43;"Aut debitis quaerat.";"Alias quaerat.";"Eveniet saepe doloremque.";"Fugiat dolorem officia.";name;sku,name,attr_220,attr_245,attr_41,attr_138,attr_1,attr_133,attr_23,attr_189,attr_12,attr_100,attr_152,attr_146,attr_92,attr_202,attr_40,attr_178,attr_163,attr_140,attr_139,attr_42,attr_244,attr_120,attr_76,attr_145,attr_47,attr_16,attr_225,attr_21,attr_105,attr_177,attr_215,attr_192,attr_239,attr_0,attr_110,attr_29,attr_248,attr_48,attr_17;sku,attr_21,attr_192,attr_163,attr_215;sku,attr_146,attr_133,attr_152,attr_16;sku,attr_220,attr_146,attr_105,attr_48;sku,attr_152,attr_215,attr_41,attr_76
fam_44;"Quam distinctio corporis.";"Vitae est hic.";"Cumque sit qui.";"Sapiente a.";name;sku,name,attr_166,attr_30,attr_41,attr_17,attr_116,attr_222,attr_11,attr_196,attr_95,attr_206,attr_180,attr_150,attr_246,attr_100,attr_105,attr_220,attr_155,attr_200,attr_131,attr_248,attr_190,attr_204,attr_27,attr_63,attr_24,attr_109,attr_130,attr_5,attr_145,attr_31,attr_79,attr_58,attr_91,attr_132,attr_144,attr_71,attr_103,attr_76,attr_87;sku,attr_206,attr_105,attr_103,attr_222;sku,attr_246,attr_150,name,attr_91;sku,attr_206,attr_190,sku,attr_58;sku,attr_27,attr_95,attr_131,sku
fam_45;"Et corporis.";"Nam nostrum.";"Velit saepe at.";"In in.";name;sku,name,attr_138,attr_149,attr_102,attr_46,attr_113,attr_134,attr_176,attr_243,attr_160,attr_39,attr_52,attr_104,attr_171,attr_90,attr_246,attr_81,attr_177,attr_5,attr_43,attr_174,attr_130,attr_153,attr_115,attr_145,attr_67,attr_248,attr_60,attr_19,attr_156,attr_83,attr_144,attr_203,attr_234,attr_123,attr_218,attr_110,attr_128,attr_72,attr_199;sku,attr_160,attr_130,attr_60,attr_234;sku,attr_52,attr_234,attr_145,attr_149;sku,attr_81,attr_39,attr_234,attr_90;sku,attr_248,attr_113,attr_174,attr_115
fam_46;"Et delectus.";"Ipsum est doloremque.";"Ut quisquam.";"Dolore rem.";name;sku,name,attr_48,attr_47,attr_134,attr_16,attr_248,attr_0,attr_75,attr_70,attr_139,attr_83,attr_198,attr_80,attr_118,attr_167,attr_15,attr_13,attr_78,attr_85,attr_145,attr_44,attr_206,attr_242,attr_174,attr_127,attr_156,attr_183,attr_155,attr_235,attr_128,attr_60,attr_191,attr_237,attr_8,attr_200,attr_59,attr_213,attr_225,attr_17,attr_34;sku,attr_225,attr_60,attr_16,attr_44;sku,attr_17,attr_13,attr_213,attr_16;sku,attr_242,attr_59,attr_48,attr_225;sku,attr_75,name,attr_70,attr_85
fam_47;"Eligendi libero.";"Nulla voluptas.";"Fugiat nostrum.";"Sed nostrum.";name;sku,name,attr_175,attr_26,attr_127,attr_84,attr_196,attr_82,attr_126,attr_109,attr_225,attr_29,attr_245,attr_129,attr_23,attr_132,attr_53,attr_55,attr_21,attr_110,attr_134,attr_173,attr_222,attr_96,attr_249,attr_138,attr_137,attr_217,attr_27,attr_116,attr_187,attr_186,attr_36,attr_182,attr_226,attr_66,attr_35,attr_178,attr_197,attr_216,attr_160;sku,attr_53,attr_66,attr_197,attr_216;sku,attr_245,attr_21,attr_129,attr_84;sku,attr_226,attr_175,attr_197,attr_249;sku,attr_55,attr_53,sku,attr_216
fam_48;"Dolores perferendis voluptas.";"Porro porro.";"Nostrum aliquam itaque.";"Aut laboriosam et.";name;sku,name,attr_33,attr_194,attr_94,attr_35,attr_80,attr_145,attr_157,attr_36,attr_38,attr_218,attr_47,attr_7,attr_245,attr_204,attr_34,attr_172,attr_222,attr_93,attr_19,attr_115,attr_232,attr_73,attr_162,attr_25,attr_81,attr_79,attr_60,attr_17,attr_180,attr_209,attr_239,attr_197,attr_248,attr_246,attr_105,attr_133,attr_8,attr_30,attr_67;sku,attr_47,attr_30,attr_34,attr_67;sku,attr_30,attr_105,attr_180,attr_35;sku,attr_17,attr_73,attr_94,attr_197;sku,attr_8,attr_157,sku,attr_60
fam_49;"Fugit consequuntur.";"Laudantium ratione consequatur.";"Omnis laborum dolor.";"Eum suscipit.";name;sku,name,attr_182,attr_38,attr_186,attr_176,attr_59,attr_170,attr_25,attr_15,attr_229,attr_244,attr_115,attr_212,attr_48,attr_94,attr_210,attr_46,attr_123,attr_227,attr_70,attr_42,attr_2,attr_28,attr_19,attr_5,attr_78,attr_43,attr_103,attr_164,attr_128,attr_238,attr_138,attr_142,attr_33,attr_18,attr_141,attr_171,attr_39,attr_14,attr_98;sku,attr_115,attr_43,attr_229,attr_170;sku,attr_212,attr_227,attr_115,attr_18;sku,attr_5,attr_244,attr_103,attr_2;sku,attr_59,attr_244,attr_227,attr_142
fam_50;"Necessitatibus aut.";"Et itaque assumenda.";"Culpa quibusdam sit.";"Eius neque.";name;sku,name,attr_49,attr_128,attr_63,attr_90,attr_41,attr_23,attr_0,attr_207,attr_110,attr_10,attr_149,attr_81,attr_108,attr_191,attr_217,attr_140,attr_71,attr_167,attr_17,attr_247,attr_80,attr_9,attr_240,attr_160,attr_57,attr_246,attr_18,attr_54,attr_103,attr_244,attr_209,attr_19,attr_129,attr_190,attr_171,attr_136,attr_104,attr_62,attr_79;sku,attr_18,attr_246,attr_149,attr_207;sku,attr_128,attr_79,attr_10,attr_149;sku,attr_18,attr_9,attr_247,attr_57;sku,attr_244,attr_160,attr_57,attr_17
fam_51;"Non porro.";"Perspiciatis corrupti.";"Iste voluptate.";"Blanditiis consequuntur.";name;sku,name,attr_159,attr_68,attr_138,attr_70,attr_87,attr_11,attr_43,attr_179,attr_137,attr_142,attr_205,attr_200,attr_69,attr_91,attr_237,attr_24,attr_166,attr_208,attr_17,attr_195,attr_198,attr_1,attr_53,attr_7,attr_246,attr_111,attr_185,attr_34,attr_241,attr_175,attr_234,attr_165,attr_189,attr_230,attr_235,attr_66,attr_0,attr_171,attr_76;sku,sku,attr_0,attr_235,attr_241;sku,attr_76,attr_137,attr_235,attr_7;sku,attr_76,attr_68,attr_205,attr_70;sku,attr_70,attr_76,name,attr_205
fam_52;"Omnis vel.";"Eveniet distinctio id.";"Rerum omnis et.";"Eveniet velit.";name;sku,name,attr_77,attr_233,attr_173,attr_54,attr_223,attr_203,attr_119,attr_102,attr_20,attr_201,attr_192,attr_85,attr_165,attr_237,attr_144,attr_16,attr_49,attr_18,attr_202,attr_206,attr_138,attr_227,attr_97,attr_176,attr_210,attr_67,attr_246,attr_82,attr_99,attr_195,attr_147,attr_148,attr_117,attr_135,attr_186,attr_194,attr_142,attr_200,attr_172;sku,attr_99,attr_206,attr_20,attr_144;sku,attr_142,attr_223,attr_147,name;sku,attr_54,attr_135,attr_192,attr_85;sku,attr_135,attr_20,attr_18,attr_67
fam_53;"Eius libero.";"Facilis id.";"Eum mollitia.";"Sunt aspernatur expedita.";name;sku,name,attr_101,attr_67,attr_64,attr_103,attr_77,attr_149,attr_162,attr_173,attr_186,attr_141,attr_53,attr_47,attr_215,attr_16,attr_55,attr_36,attr_88,attr_177,attr_12,attr_40,attr_241,attr_76,attr_92,attr_52,attr_197,attr_75,attr_46,attr_68,attr_206,attr_204,attr_99,attr_7,attr_17,attr_98,attr_234,attr_225,attr_153,attr_20,attr_247;sku,attr_53,attr_67,attr_153,attr_36;sku,attr_47,attr_7,attr_234,attr_77;sku,attr_241,attr_247,attr_92,attr_234;sku,attr_98,attr_215,attr_52,attr_76
fam_54;"Sed est.";"Alias et earum.";"Quod ex repellat.";"Voluptate vero.";name;sku,name,attr_221,attr_76,attr_173,attr_223,attr_119,attr_87,attr_112,attr_135,attr_146,attr_25,attr_36,attr_63,attr_18,attr_166,attr_50,attr_216,attr_4,attr_190,attr_74,attr_153,attr_19,attr_33,attr_211,attr_230,attr_42,attr_47,attr_148,attr_39,attr_90,attr_231,attr_69,attr_171,attr_243,attr_3,attr_79,attr_124,attr_29,attr_224,attr_209;sku,attr_211,attr_146,attr_216,attr_47;sku,attr_50,attr_146,attr_4,attr_79;sku,attr_153,attr_166,attr_124,name;sku,attr_216,attr_90,sku,attr_153
fam_55;"Ut alias vero.";"Rerum voluptate.";"Aspernatur mollitia.";"Qui voluptas.";name;sku,name,attr_75,attr_57,attr_7,attr_180,attr_112,attr_210,attr_23,attr_74,attr_144,attr_158,attr_50,attr_203,attr_81,attr_217,attr_89,attr_233,attr_181,attr_40,attr_240,attr_228,attr_18,attr_128,attr_92,attr_248,attr_94,attr_212,attr_85,attr_198,attr_83,attr_175,attr_67,attr_86,attr_222,attr_238,attr_159,attr_130,attr_91,attr_129,attr_213;sku,attr_67,attr_175,attr_159,attr_7;sku,attr_130,attr_240,attr_129,attr_81;sku,attr_159,attr_130,attr_129,attr_94;sku,attr_181,attr_240,attr_67,attr_57
fam_56;"Dolores rem ipsam.";"Consequatur dolorem.";"Sit quasi sequi.";"Labore totam.";name;sku,name,attr_177,attr_187,attr_135,attr_0,attr_132,attr_224,attr_163,attr_142,attr_155,attr_86,attr_46,attr_39,attr_146,attr_170,attr_151,attr_29,attr_198,attr_229,attr_213,attr_249,attr_5,attr_117,attr_137,attr_75,attr_102,attr_38,attr_164,attr_22,attr_167,attr_231,attr_3,attr_4,attr_19,attr_50,attr_30,attr_115,attr_53,attr_147,attr_174;sku,attr_117,attr_50,attr_147,attr_75;sku,attr_174,attr_147,sku,name;sku,attr_187,attr_30,attr_146,attr_229;sku,attr_155,attr_75,attr_229,attr_146
fam_57;"Placeat autem.";"Laborum quibusdam adipisci.";"Ad adipisci dolores.";"Perspiciatis inventore.";name;sku,name,attr_231,attr_82,attr_234,attr_108,attr_217,attr_113,attr_114,attr_93,attr_128,attr_53,attr_249,attr_230,attr_104,attr_241,attr_189,attr_184,attr_229,attr_63,attr_69,attr_27,attr_73,attr_26,attr_29,attr_41,attr_137,attr_110,attr_66,attr_10,attr_21,attr_214,attr_111,attr_240,attr_28,attr_212,attr_168,attr_92,attr_79,attr_35,attr_153;sku,attr_114,attr_153,attr_63,attr_104;sku,attr_29,attr_234,attr_229,attr_241;sku,attr_108,attr_82,attr_93,attr_28;sku,attr_234,attr_240,attr_231,attr_114
fam_58;"Voluptas aut aut.";"Consequuntur qui facere.";"Molestias iste et.";"Numquam veniam.";name;sku,name,attr_209,attr_64,attr_14,attr_93,attr_89,attr_31,attr_78,attr_16,attr_114,attr_222,attr_196,attr_82,attr_140,attr_70,attr_144,attr_121,attr_104,attr_170,attr_73,attr_231,attr_11,attr_96,attr_46,attr_34,attr_156,attr_192,attr_7,attr_76,attr_146,attr_54,attr_40,attr_191,attr_137,attr_228,attr_123,attr_111,attr_101,attr_212,attr_51;sku,attr_96,attr_64,attr_73,attr_228;sku,attr_78,attr_104,attr_191,attr_170;sku,attr_144,attr_212,attr_192,attr_96;sku,attr_34,attr_156,attr_222,attr_93
fam_59;"Repudiandae occaecati commodi.";"Animi autem dolores.";"Reiciendis qui sed.";"Placeat cumque dolore.";name;sku,name,attr_185,attr_93,attr_63,attr_243,attr_150,attr_168,attr_195,attr_193,attr_17,attr_28,attr_111,attr_79,attr_209,attr_143,attr_97,attr_202,attr_69,attr_173,attr_175,attr_12,attr_164,attr_13,attr_70,attr_8,attr_7,attr_115,attr_198,attr_225,attr_241,attr_127,attr_104,attr_226,attr_91,attr_60,attr_183,attr_121,attr_30,attr_81,attr_43;sku,attr_17,attr_225,attr_164,attr_226;sku,attr_12,attr_43,attr_127,attr_241;sku,attr_28,attr_121,attr_104,attr_70;sku,attr_70,attr_63,attr_79,attr_225
fam_60;"Mollitia perferendis.";"Officia id.";"Aut accusantium.";"Et officia expedita.";name;sku,name,attr_23,attr_97,attr_66,attr_139,attr_46,attr_245,attr_15,attr_167,attr_127,attr_130,attr_81,attr_91,attr_189,attr_135,attr_21,attr_212,attr_185,attr_7,attr_62,attr_229,attr_53,attr_244,attr_125,attr_242,attr_239,attr_122,attr_106,attr_45,attr_32,attr_58,attr_231,attr_134,attr_112,attr_213,attr_243,attr_1,attr_178,attr_38,attr_145;sku,attr_91,attr_212,attr_127,attr_145;sku,attr_127,attr_15,name,attr_242;sku,sku,attr_66,attr_45,attr_185;sku,attr_127,attr_178,attr_97,attr_245
fam_61;"Veritatis quam.";"Voluptas porro eaque.";"Quis sit.";"Qui minima.";name;sku,name,attr_39,attr_48,attr_74,attr_92,attr_18,attr_144,attr_138,attr_28,attr_103,attr_52,attr_175,attr_164,attr_172,attr_189,attr_157,attr_158,attr_82,attr_51,attr_11,attr_31,attr_63,attr_173,attr_230,attr_234,attr_72,attr_130,attr_184,attr_224,attr_203,attr_213,attr_247,attr_75,attr_53,attr_161,attr_223,attr_140,attr_218,attr_246,attr_95;sku,attr_53,attr_95,attr_247,attr_72;sku,name,attr_234,attr_157,attr_31;sku,attr_213,attr_52,attr_75,attr_158;sku,attr_95,attr_92,attr_48,attr_184
fam_62;"Sequi enim at.";"Qui et vel.";"Ea magnam.";"Quia culpa dicta.";name;sku,name,attr_164,attr_179,attr_225,attr_108,attr_210,attr_100,attr_197,attr_36,attr_116,attr_226,attr_2,attr_74,attr_175,attr_84,attr_167,attr_148,attr_83,attr_78,attr_223,attr_121,attr_14,attr_182,attr_127,attr_92,attr_24,attr_220,attr_118,attr_163,attr_228,attr_117,attr_244,attr_205,attr_187,attr_113,attr_110,attr_249,attr_47,attr_200,attr_97;sku,attr_249,attr_108,attr_47,attr_244;sku,attr_108,attr_182,attr_225,attr_117;sku,attr_200,attr_117,attr_223,attr_113;sku,attr_121,attr_117,attr_127,attr_118
fam_63;"Dolore corporis adipisci.";"Non doloremque animi.";"Libero temporibus.";"Fugiat qui.";name;sku,name,attr_240,attr_132,attr_201,attr_108,attr_120,attr_71,attr_221,attr_29,attr_79,attr_72,attr_247,attr_57,attr_128,attr_74,attr_6,attr_41,attr_31,attr_227,attr_109,attr_220,attr_188,attr_48,attr_147,attr_82,attr_207,attr_47,attr_69,attr_55,attr_168,attr_191,attr_9,attr_140,attr_233,attr_33,attr_84,attr_156,attr_17,attr_217,attr_59;sku,attr_247,attr_156,attr_57,attr_221;sku,attr_140,sku,name,attr_41;sku,attr_9,attr_140,attr_71,attr_82;sku,attr_128,attr_48,attr_247,attr_29
fam_64;"Expedita repudiandae.";"Reprehenderit aut consequatur.";"Qui laborum.";"Quia eaque.";name;sku,name,attr_237,attr_158,attr_195,attr_132,attr_12,attr_187,attr_179,attr_89,attr_46,attr_235,attr_11,attr_78,attr_21,attr_19,attr_0,attr_64,attr_5,attr_20,attr_172,attr_224,attr_87,attr_161,attr_139,attr_88,attr_97,attr_85,attr_59,attr_76,attr_3,attr_81,attr_149,attr_222,attr_200,attr_69,attr_63,attr_58,attr_203,attr_47,attr_123;sku,attr_195,attr_20,attr_64,attr_21;sku,attr_158,attr_76,attr_0,attr_21;sku,attr_64,attr_224,attr_97,attr_187;sku,attr_85,attr_3,attr_47,attr_0
fam_65;"Est modi illum.";"Autem quia est.";"Consequatur quo consequatur.";"Doloribus nihil et.";name;sku,name,attr_13,attr_102,attr_0,attr_81,attr_64,attr_18,attr_33,attr_156,attr_208,attr_124,attr_181,attr_43,attr_222,attr_238,attr_37,attr_70,attr_164,attr_90,attr_65,attr_85,attr_96,attr_132,attr_93,attr_214,attr_220,attr_237,attr_104,attr_56,attr_213,attr_162,attr_211,attr_110,attr_217,attr_158,attr_26,attr_193,attr_231,attr_170,attr_246;sku,attr_43,attr_104,attr_64,attr_85;sku,attr_96,attr_164,name,attr_64;sku,attr_208,attr_158,attr_246,attr_222;sku,attr_213,attr_220,attr_43,attr_0
fam_66;"Sit aut.";"Corporis quo.";"Possimus dicta placeat.";"Dolor cum.";name;sku,name,attr_22,attr_23,attr_46,attr_54,attr_131,attr_81,attr_158,attr_162,attr_185,attr_1,attr_215,attr_43,attr_47,attr_230,attr_233,attr_210,attr_65,attr_45,attr_106,attr_8,attr_143,attr_207,attr_198,attr_133,attr_163,attr_205,attr_25,attr_164,attr_113,attr_108,attr_220,attr_243,attr_32,attr_53,attr_11,attr_15,attr_161,attr_219,attr_226;sku,attr_164,attr_205,attr_185,attr_230;sku,attr_32,attr_230,name,attr_65;sku,attr_65,attr_161,attr_220,attr_143;sku,name,attr_106,attr_198,attr_226
fam_67;"Odio doloribus sint.";"Dolor maiores quod.";"Maxime ratione neque.";"Autem voluptatem sit.";name;sku,name,attr_3,attr_107,attr_242,attr_168,attr_249,attr_170,attr_171,attr_73,attr_133,attr_222,attr_156,attr_53,attr_123,attr_10,attr_137,attr_118,attr_82,attr_189,attr_31,attr_60,attr_202,attr_135,attr_18,attr_223,attr_29,attr_152,attr_241,attr_248,attr_231,attr_159,attr_115,attr_5,attr_96,attr_110,attr_240,attr_1,attr_204,attr_228,attr_150;sku,attr_115,attr_5,attr_18,attr_170;sku,attr_5,attr_107,attr_228,attr_223;sku,attr_223,attr_249,attr_241,attr_231;sku,attr_156,attr_115,attr_150,name
fam_68;"Cum officia.";"Nihil ut.";"Sit repellat.";"Nemo nihil aut.";name;sku,name,attr_30,attr_26,attr_16,attr_106,attr_185,attr_178,attr_238,attr_19,attr_233,attr_211,attr_173,attr_64,attr_42,attr_237,attr_119,attr_230,attr_113,attr_47,attr_159,attr_215,attr_3,attr_133,attr_124,attr_216,attr_193,attr_102,attr_222,attr_81,attr_188,attr_51,attr_54,attr_151,attr_163,attr_56,attr_68,attr_248,attr_61,attr_60,attr_27;sku,attr_54,attr_193,attr_178,attr_188;sku,attr_106,attr_124,attr_64,sku;sku,name,attr_106,attr_124,attr_60;sku,attr_238,attr_159,attr_163,attr_124
fam_69;"Ducimus hic.";"Itaque voluptatum.";"Culpa quas.";"Velit cupiditate dolorem.";name;sku,name,attr_57,attr_219,attr_67,attr_193,attr_146,attr_28,attr_130,attr_40,attr_123,attr_99,attr_116,attr_83,attr_48,attr_113,attr_159,attr_249,attr_114,attr_172,attr_153,attr_112,attr_90,attr_148,attr_232,attr_151,attr_245,attr_51,attr_167,attr_164,attr_77,attr_139,attr_203,attr_62,attr_4,attr_38,attr_97,attr_166,attr_150,attr_218,attr_70;sku,attr_219,attr_193,attr_164,attr_114;sku,attr_166,sku,attr_219,attr_99;sku,attr_245,attr_153,attr_48,attr_67;sku,name,attr_57,attr_67,attr_164
fam_70;"Molestiae qui aut.";"Voluptatum quos.";"Placeat iusto consectetur.";"Perspiciatis aut.";name;sku,name,attr_209,attr_149,attr_204,attr_86,attr_183,attr_80,attr_28,attr_150,attr_232,attr_241,attr_139,attr_221,attr_50,attr_19,attr_26,attr_131,attr_52,attr_2,attr_92,attr_4,attr_225,attr_122,attr_201,attr_41,attr_135,attr_111,attr_199,attr_6,attr_218,attr_45,attr_18,attr_180,attr_24,attr_113,attr_210,attr_207,attr_151,attr_158,attr_100;sku,attr_131,attr_158,attr_26,attr_225;sku,attr_204,attr_113,attr_225,attr_50;sku,attr_199,attr_225,attr_131,attr_111;sku,attr_149,attr_241,attr_111,attr_18
fam_71;"Dolor facilis.";"Et ducimus.";"Cupiditate ut omnis.";"Nulla sunt.";name;sku,name,attr_2,attr_76,attr_192,attr_62,attr_125,attr_88,attr_56,attr_174,attr_119,attr_219,attr_247,attr_104,attr_38,attr_18,attr_213,attr_143,attr_27,attr_115,attr_118,attr_194,attr_170,attr_185,attr_117,attr_0,attr_109,attr_195,attr_224,attr_146,attr_183,attr_82,attr_64,attr_69,attr_111,attr_53,attr_175,attr_129,attr_166,attr_24,attr_207;sku,attr_125,attr_185,attr_146,name;sku,attr_185,attr_166,attr_18,attr_0;sku,attr_195,attr_174,attr_224,attr_56;sku,attr_0,attr_2,attr_207,attr_56
fam_72;"Quo id ipsa.";"Quisquam maiores quia.";"Assumenda quo deserunt.";"Blanditiis animi.";name;sku,name,attr_214,attr_19,attr_159,attr_177,attr_15,attr_144,attr_111,attr_115,attr_134,attr_231,attr_229,attr_21,attr_151,attr_58,attr_230,attr_11,attr_102,attr_80,attr_240,attr_66,attr_1,attr_249,attr_81,attr_132,attr_79,attr_3,attr_4,attr_202,attr_196,attr_91,attr_50,attr_127,attr_170,attr_199,attr_75,attr_13,attr_35,attr_129,attr_209;sku,attr_199,attr_66,attr_91,attr_249;sku,attr_50,attr_13,attr_35,attr_115;sku,attr_58,attr_4,attr_111,attr_15;sku,attr_159,attr_75,attr_144,attr_13
fam_73;"Nisi inventore est.";"Autem quisquam harum.";"Odit laboriosam accusamus.";"Rerum aut laborum.";name;sku,name,attr_154,attr_77,attr_217,attr_54,attr_31,attr_126,attr_128,attr_2,attr_210,attr_245,attr_11,attr_143,attr_248,attr_78,attr_71,attr_135,attr_47,attr_10,attr_57,attr_52,attr_134,attr_84,attr_87,attr_115,attr_225,attr_206,attr_201,attr_214,attr_235,attr_185,attr_173,attr_107,attr_182,attr_142,attr_0,attr_111,attr_70,attr_60,attr_160;sku,attr_70,attr_78,attr_52,attr_57;sku,attr_235,attr_143,attr_47,attr_71;sku,attr_71,attr_143,attr_77,attr_84;sku,attr_160,attr_206,attr_245,attr_70
fam_74;"Facere commodi nobis.";"Aliquid cupiditate.";"Quis et.";"Dolor error quia.";name;sku,name,attr_243,attr_169,attr_198,attr_187,attr_140,attr_97,attr_50,attr_121,attr_9,attr_234,attr_73,attr_206,attr_237,attr_150,attr_93,attr_70,attr_245,attr_71,attr_111,attr_90,attr_166,attr_228,attr_200,attr_81,attr_72,attr_130,attr_180,attr_54,attr_189,attr_87,attr_126,attr_59,attr_99,attr_49,attr_115,attr_1,attr_123,attr_103,attr_160;sku,attr_160,attr_87,sku,attr_126;sku,attr_111,attr_50,attr_130,attr_87;sku,attr_9,attr_71,attr_59,name;sku,attr_97,attr_237,attr_234,attr_115
fam_75;"Omnis suscipit.";"Rerum maiores minima.";"Alias culpa.";"Molestiae praesentium.";name;sku,name,attr_204,attr_72,attr_18,attr_201,attr_160,attr_121,attr_124,attr_156,attr_136,attr_86,attr_231,attr_107,attr_142,attr_25,attr_217,attr_110,attr_230,attr_65,attr_223,attr_207,attr_104,attr_46,attr_227,attr_0,attr_238,attr_180,attr_208,attr_100,attr_2,attr_219,attr_119,attr_21,attr_44,attr_177,attr_50,attr_70,attr_188,attr_132,attr_181;sku,attr_124,sku,attr_0,attr_2;sku,attr_132,attr_230,attr_208,attr_21;sku,attr_44,attr_121,attr_180,attr_65;sku,sku,attr_188,attr_44,attr_107
fam_76;"Ratione ut.";"Commodi ducimus.";"Dolor laudantium occaecati.";"Nihil aut.";name;sku,name,attr_72,attr_243,attr_170,attr_247,attr_221,attr_42,attr_220,attr_38,attr_232,attr_179,attr_131,attr_201,attr_70,attr_113,attr_177,attr_128,attr_236,attr_45,attr_77,attr_234,attr_111,attr_192,attr_40,attr_53,attr_193,attr_124,attr_41,attr_196,attr_24,attr_211,attr_202,attr_7,attr_94,attr_105,attr_241,attr_197,attr_167,attr_69,attr_123;sku,name,sku,attr_70,attr_196;sku,attr_7,attr_234,attr_197,attr_131;sku,attr_77,attr_45,attr_42,attr_193;sku,attr_45,attr_123,attr_131,attr_247
fam_77;"Est iusto voluptatem.";"Temporibus aut.";"Quia ut aut.";"Fugiat dolores.";name;sku,name,attr_229,attr_170,attr_130,attr_136,attr_235,attr_93,attr_247,attr_86,attr_215,attr_45,attr_243,attr_213,attr_241,attr_164,attr_180,attr_0,attr_27,attr_87,attr_157,attr_148,attr_85,attr_28,attr_106,attr_14,attr_185,attr_221,attr_179,attr_217,attr_24,attr_104,attr_9,attr_30,attr_73,attr_96,attr_108,attr_118,attr_233,attr_3,attr_37;sku,name,attr_87,sku,attr_85;sku,attr_106,attr_130,attr_104,attr_28;sku,attr_9,attr_3,attr_130,attr_96;sku,attr_106,attr_104,name,attr_96
fam_78;"Earum impedit.";"Tenetur possimus fugiat.";"Suscipit non.";"Ipsam sed.";name;sku,name,attr_239,attr_198,attr_176,attr_15,attr_129,attr_68,attr_95,attr_34,attr_29,attr_52,attr_42,attr_167,attr_4,attr_226,attr_122,attr_214,attr_119,attr_241,attr_93,attr_208,attr_211,attr_41,attr_179,attr_63,attr_217,attr_201,attr_81,attr_248,attr_157,attr_89,attr_172,attr_65,attr_90,attr_64,attr_244,attr_144,attr_84,attr_48,attr_28;sku,attr_28,name,attr_65,attr_129;sku,attr_52,attr_89,attr_48,attr_28;sku,attr_15,attr_93,attr_198,attr_95;sku,attr_84,attr_244,attr_48,attr_64
fam_79;"Maiores sit.";"Commodi quaerat accusantium.";"Saepe sit et.";"Perspiciatis eius.";name;sku,name,attr_176,attr_83,attr_181,attr_226,attr_55,attr_13,attr_60,attr_134,attr_53,attr_247,attr_44,attr_145,attr_61,attr_69,attr_248,attr_81,attr_102,attr_150,attr_160,attr_66,attr_141,attr_234,attr_38,attr_21,attr_128,attr_72,attr_222,attr_131,attr_52,attr_209,attr_185,attr_120,attr_31,attr_224,attr_249,attr_164,attr_108,attr_107,attr_177;sku,attr_53,attr_66,attr_55,attr_145;sku,attr_247,attr_249,attr_44,attr_60;sku,attr_53,attr_61,attr_52,attr_21;sku,sku,attr_31,attr_177,attr_66
